fid,id,Trial,Row,Column,,MasonPlot#,,,709ExG_mean,709ExG_variance,709ExR_mean,709ExR_variance,709gNDVI_mean,709gNDVI_variance,709gNDRE_mean,709gNDRE_variance,709NDVI_mean,709NDVI_variance,709THRESH_mean,709THRESH_variance,709PltCounts_,709HA_mean
327,3003,2503,13,3,25031303,1303,7/09/2025,40,18.48281202,463.4066065,51.73708156,1068.02854,0.222944479,0.049713424,0.066559514,0.029121817,-0.054633138,0.002481382,0.393676624,0.23869534,0.849875139,245
328,3004,2503,13,4,25031304,1304,7/09/2025,40,19.47389468,426.0961222,52.51418757,798.8356083,0.218209949,0.039766406,0.061005505,0.021596673,-0.060975088,0.00168396,0.38203323,0.236083841,0.966644794,340
329,3005,2503,13,5,25031305,1305,7/09/2025,40,13.71025063,408.0706778,58.31352859,719.7041611,0.154890038,0.036669238,0.018475619,0.019895481,-0.072003316,0.001728175,0.258546888,0.191700395,0.891918492,227
330,3006,2503,14,1,25031401,1401,7/09/2025,40,19.74752907,404.6405639,46.38265423,928.0204319,0.256759291,0.048144749,0.097950779,0.029735979,-0.022721427,0.002807665,0.449553685,0.247455169,0.885455971,277
331,3007,2503,14,2,25031402,1402,7/09/2025,40,20.88865114,413.2851886,47.81857034,726.8770825,0.2456999,0.037921032,0.083970854,0.021953316,-0.04141938,0.001952013,0.404234353,0.240828941,0.977144732,391
332,3008,2503,14,3,25031403,1403,7/09/2025,40,11.71006817,298.9296868,58.59234888,693.1105371,0.141431867,0.032680935,0.003655288,0.019364197,-0.067745288,0.001830844,0.228435405,0.176252671,0.869180854,214
333,3009,2503,14,4,25031404,1404,7/09/2025,40,18.2885233,368.7413641,48.68011718,694.9720493,0.207478059,0.040931913,0.05269308,0.023540939,-0.056594533,0.001896257,0.367710857,0.232499583,0.97333309,315
334,3010,2503,14,5,25031405,1405,7/09/2025,40,19.56827722,567.691063,49.30436399,876.6579297,0.186899651,0.052273897,0.037186022,0.029897573,-0.06457752,0.002156209,0.332666573,0.221999524,0.868631633,187
335,3011,2503,15,1,25031501,1501,7/09/2025,40,11.04953674,269.425156,56.77357289,648.7320461,0.154698499,0.033267573,0.014952959,0.019933831,-0.044991981,0.001989824,0.245712355,0.185337793,0.911473617,221
336,3012,2503,15,2,25031502,1502,7/09/2025,40,16.26637751,334.948758,50.89427702,670.9932325,0.195277587,0.036631621,0.045981205,0.021198471,-0.050923042,0.001860202,0.328705008,0.220658026,0.971127556,419
337,3013,2503,15,3,25031503,1503,7/09/2025,40,16.0246465,473.2112398,55.03817811,719.6448202,0.149003603,0.036606711,0.001695847,0.019245988,-0.073641134,0.001455195,0.266830038,0.195631769,0.762308379,260
338,3014,2503,15,4,25031504,1504,7/09/2025,40,16.38680415,388.7618655,50.54090037,541.3635711,0.163693832,0.035163258,0.015132352,0.0183307,-0.067780772,0.001310725,0.283778454,0.203248243,0.934477919,304
339,3015,2503,15,5,25031505,1505,7/09/2025,40,13.98191702,380.3422356,52.30541645,558.044131,0.134607782,0.036237929,-0.003243133,0.019064843,-0.072534083,0.001521267,0.24550038,0.185229944,0.851781646,326
340,3016,2503,16,1,25031601,1601,7/09/2025,40,20.07417838,487.6898424,46.78578952,807.5403845,0.24099621,0.047011378,0.085733249,0.027437416,-0.041522976,0.002360469,0.429637557,0.245049127,0.865763861,343
341,3017,2503,16,2,25031602,1602,7/09/2025,40,20.13428507,513.8810214,51.06111391,683.1122303,0.212072186,0.036060983,0.056509825,0.019610292,-0.056155414,0.001555305,0.345075182,0.225998301,0.970181354,352
342,3018,2503,16,3,25031603,1603,7/09/2025,40,12.70117435,321.3383131,55.39240193,614.8113118,0.159919553,0.034807092,0.021193218,0.020287217,-0.063012421,0.001687921,0.251767158,0.188380456,0.847154886,133
343,3019,2503,16,4,25031604,1604,7/09/2025,40,17.49785976,364.3469259,46.37787665,523.9144416,0.202638346,0.036713154,0.049905971,0.019905966,-0.053060528,0.001519685,0.340073219,0.224423425,0.972350818,354
344,3020,2503,16,5,25031605,1605,7/09/2025,40,12.73020701,382.7866682,52.62395718,501.3267354,0.140339671,0.03334426,0.000644326,0.017545617,-0.065497428,0.001561716,0.226644135,0.175276571,0.888398797,269
345,3021,2503,17,1,25031701,1701,7/09/2025,40,11.47496198,292.7067606,58.63838223,544.4061669,0.135841713,0.028049315,0.011161062,0.015733937,-0.0601011,0.001393193,0.209429392,0.165568722,0.878376408,245
346,3022,2503,17,2,25031702,1702,7/09/2025,40,20.52744778,461.211805,51.06870672,554.0505679,0.200862655,0.027992799,0.054919029,0.01395268,-0.053684322,0.001248882,0.324474973,0.219190965,0.94748642,474
347,3023,2503,17,3,25031703,1703,7/09/2025,40,12.46288369,405.5656598,59.37235706,512.2903484,0.131247864,0.024115423,0.004071666,0.011611977,-0.071541208,0.000956385,0.190819487,0.154407411,0.838172308,228
348,3024,2503,17,4,25031704,1704,7/09/2025,40,16.73314559,480.6689746,52.45102787,467.0721171,0.159252684,0.028436011,0.014404991,0.012916002,-0.07203778,0.000858021,0.24947902,0.187239239,0.957711307,287
349,3025,2503,17,5,25031705,1705,7/09/2025,40,12.00512748,438.8536151,56.21523031,432.2459289,0.113566864,0.02680541,-0.020730723,0.012559193,-0.079506848,0.001013068,0.176052965,0.145058319,0.833038692,204
350,3026,2503,18,1,25031801,1801,7/09/2025,40,10.56120782,234.6844824,54.90539125,644.2660897,0.167681673,0.032338403,0.042707825,0.019954544,-0.038925581,0.001744371,0.248014196,0.186503155,0.876175549,152
351,3027,2503,18,2,25031802,1802,7/09/2025,40,12.14696441,247.4242508,57.25563192,573.929084,0.168964606,0.027163206,0.041060257,0.015739407,-0.043657222,0.001453286,0.244508898,0.184724297,0.96380008,319
352,3028,2503,18,3,25031803,1803,7/09/2025,40,11.78435899,302.7960191,57.59532685,538.3605145,0.156341558,0.027401732,0.028657685,0.014622762,-0.051674182,0.001281178,0.222707055,0.173108623,0.872947309,207
353,3029,2503,18,4,25031804,1804,7/09/2025,40,14.65367612,337.5321027,51.34580576,489.4520331,0.181385643,0.030490554,0.040020197,0.015280757,-0.054924101,0.001155789,0.281530707,0.202271168,0.967920677,289
354,3030,2503,18,5,25031805,1805,7/09/2025,40,15.75902563,513.2341026,51.60828499,581.0303397,0.172561144,0.037393238,0.030245582,0.018876322,-0.062681319,0.001222541,0.285187271,0.203855492,0.883481874,290
355,4001,2503,19,1,25031901,1901,7/09/2025,40,11.70496973,346.5802245,59.14174292,571.4707561,0.154382666,0.026638767,0.028412828,0.014415809,-0.049828238,0.001124576,0.205068281,0.163015281,0.841818414,195
356,4002,2503,19,2,25031902,1902,7/09/2025,40,15.01698257,290.5251573,53.18628439,666.2190776,0.204409331,0.032360474,0.06946227,0.01863934,-0.038637388,0.001568538,0.310868279,0.214229192,0.972641441,351
357,4003,2503,19,3,25031903,1903,7/09/2025,40,6.437350382,201.1213391,68.39856928,328.6715095,0.081734026,0.01178263,-0.033804481,0.005849266,-0.074248376,0.000608217,0.074802152,0.06920679,0.753777729,128
358,4004,2503,19,4,25031904,1904,7/09/2025,40,12.67018641,313.4515936,54.69333784,516.913273,0.161058899,0.029344401,0.022341606,0.015214221,-0.063454747,0.001118465,0.2408346,0.182833296,0.963454423,289
359,4005,2503,19,5,25031905,1905,7/09/2025,40,12.7488173,443.3790676,51.73849965,629.403259,0.161289964,0.038224265,0.023231474,0.020405949,-0.062868733,0.001485184,0.236933994,0.180796277,0.827583065,108
360,4006,2503,20,1,25032001,2001,7/09/2025,40,14.26687687,338.6944994,59.04206406,750.3580285,0.191470305,0.031300048,0.056120865,0.018162446,-0.043440622,0.001653351,0.275491245,0.199595819,0.898889922,250
361,4007,2503,20,2,25032002,2002,7/09/2025,40,15.97358416,317.4495824,58.75756569,661.246667,0.196783159,0.027576222,0.059493112,0.015462434,-0.04634461,0.001362631,0.286096483,0.204245285,0.965243225,363
362,4008,2503,20,3,25032003,2003,7/09/2025,40,12.5803154,325.2773991,59.23604618,609.4750125,0.167375907,0.027167071,0.038850544,0.014601144,-0.049789173,0.001306631,0.220980006,0.172147843,0.858754694,146
363,4009,2503,20,4,25032004,2004,7/09/2025,40,15.69325188,315.0123497,53.06096675,506.755597,0.190844976,0.027450383,0.04891069,0.014008381,-0.047036701,0.001109651,0.289378114,0.205638421,0.972257665,345
364,4010,2503,20,5,25032005,2005,7/09/2025,40,16.12178566,450.094336,51.34158568,741.3774245,0.186458881,0.038954724,0.043988765,0.020951202,-0.047128664,0.001670565,0.291480073,0.20651944,0.86580631,182
365,4011,2503,21,1,25032101,2101,7/09/2025,40,8.735484598,252.009099,67.06675113,462.4471304,0.111096075,0.019339661,-0.009369681,0.010285008,-0.062642465,0.000948449,0.131215859,0.113998257,0.788699535,178
366,4012,2503,21,2,25032102,2102,7/09/2025,40,15.21208708,335.345061,60.28301557,767.675043,0.18207041,0.032413061,0.043894899,0.018371234,-0.048501628,0.001740628,0.269931567,0.197068516,0.944701637,275
367,4013,2503,21,3,25032103,2103,7/09/2025,40,11.37125074,262.0659074,63.53708845,705.2307831,0.147921895,0.026335237,0.016771612,0.014830432,-0.05206559,0.001674831,0.205311629,0.163158764,0.813341839,166
368,4014,2503,21,4,25032104,2104,7/09/2025,40,16.43983776,340.9707496,55.57532672,694.021241,0.185797769,0.031767691,0.030754333,0.016801288,-0.047292447,0.001439637,0.299318387,0.20972689,0.977015475,305
369,4015,2503,21,5,25032105,2105,7/09/2025,40,15.22840167,455.1672233,57.40595855,873.3672281,0.165219217,0.041214969,0.013816653,0.023240297,-0.052171026,0.00184594,0.257687542,0.191284673,0.86168875,168
370,4016,2503,22,1,25032201,2201,7/09/2025,40,13.1693746,329.2734551,57.40206121,791.9430678,0.192001081,0.035789726,0.057123693,0.021010627,-0.039413047,0.002258196,0.269394306,0.196821014,0.86580631,177
371,4017,2503,22,2,25032202,2202,7/09/2025,40,16.14002422,251.7047108,58.59215796,744.6526658,0.20025412,0.029808553,0.060033687,0.01726182,-0.041467662,0.002111979,0.314470015,0.215578625,0.971748838,358
372,4018,2503,22,3,25032203,2203,7/09/2025,40,12.10348906,216.8665675,69.78974964,666.8230423,0.130519573,0.024821789,0.00230957,0.014284158,-0.067066149,0.001517118,0.186984315,0.152021181,0.837246181,220
373,4019,2503,22,4,25032204,2204,7/09/2025,40,17.38169272,271.90574,57.74074074,907.0972502,0.205308578,0.039392036,0.054287295,0.023621376,-0.052811204,0.002440064,0.34040276,0.224528721,0.980349982,318
374,4020,2503,22,5,25032205,2205,7/09/2025,40,15.37320157,348.9154549,60.83958668,944.2012927,0.170797919,0.040172268,0.02531941,0.023250253,-0.063021445,0.002278505,0.279190247,0.201243053,0.910849039,215
375,4021,2503,23,1,25032301,2301,7/09/2025,40,11.96722973,258.5868766,67.02774776,759.1262575,0.15052777,0.031557021,0.019964803,0.019162378,-0.058453297,0.00166071,0.213513514,0.167925493,0.807498815,157
376,4022,2503,23,2,25032302,2302,7/09/2025,40,16.70428366,298.1057532,64.74284507,751.054525,0.175715944,0.027646338,0.034343424,0.015189042,-0.058147148,0.001549573,0.271326781,0.197708559,0.925545875,370
377,4023,2503,23,3,25032303,2303,7/09/2025,40,11.76115914,204.2951756,68.76073108,863.2444924,0.162745887,0.0328903,0.035618777,0.020400206,-0.061833468,0.002263102,0.253935622,0.189452322,0.846964256,205
378,4024,2503,23,4,25032304,2304,7/09/2025,40,14.2963109,198.1577645,65.30851591,716.2648055,0.163783093,0.026769989,0.033580586,0.015617145,-0.067617008,0.001729529,0.243311743,0.184111139,0.953159458,397
379,4025,2503,23,5,25032305,2305,7/09/2025,40,18.21055892,486.1827239,64.42999859,1148.765018,0.178577163,0.04623882,0.036707928,0.027168109,-0.070875367,0.002375085,0.286864705,0.204573346,0.81376105,154
380,4026,2503,24,1,25032401,2401,7/09/2025,40,20.16786368,391.8940863,58.05354738,865.5069186,0.254152841,0.036366945,0.089774699,0.02267587,-0.027050952,0.002008253,0.356485002,0.229403445,0.860462573,167
381,4027,2503,24,2,25032402,2402,7/09/2025,40,22.19074168,295.9267308,53.67499578,852.0227014,0.278480651,0.032874791,0.112305615,0.021409327,-0.020005312,0.002447967,0.410457848,0.241982203,0.988607572,316
382,4028,2503,24,3,25032403,2403,7/09/2025,40,15.96082794,206.4357227,67.79627711,686.6053152,0.196787072,0.025627017,0.043429614,0.015615433,-0.046719528,0.001853302,0.250323852,0.187661821,0.796095801,144
383,4029,2503,24,4,25032404,2404,7/09/2025,40,24.76895988,402.6198513,57.3611111,821.0428097,0.254639793,0.031021466,0.075540533,0.017269751,-0.044253418,0.001572686,0.373422357,0.2339781,0.983651077,267
384,4030,2503,24,5,25032405,2405,7/09/2025,40,18.03103351,278.5941369,63.66463532,802.3650784,0.208511438,0.030148142,0.039525628,0.018584987,-0.051741217,0.001991502,0.28698958,0.204626561,0.893458012,231
385,101,2504,1,1,25040101,101,7/09/2025,40,20.62686189,363.0244453,46.72843586,558.7041221,0.236486965,0.033679719,0.081929963,0.019344079,-0.048587869,0.001278574,0.37412361,0.234155134,0.983777182,255
386,102,2504,1,2,25040102,102,7/09/2025,40,22.63491438,452.5745764,45.47925303,771.8704342,0.254460256,0.042444193,0.093897136,0.025692988,-0.044853085,0.002061709,0.438147814,0.246174307,0.887718275,273
387,103,2504,1,3,25040103,103,7/09/2025,40,24.60460269,448.3450835,42.08985098,732.2144968,0.275141452,0.040309137,0.1159167,0.024049826,-0.035968931,0.002013205,0.444917045,0.246965868,0.966060297,302
388,104,2504,1,4,25040104,104,7/09/2025,40,22.16167192,458.218905,51.04294162,968.2508124,0.240992244,0.041405659,0.089951379,0.02517785,-0.044335132,0.002298455,0.40648941,0.241255769,0.886626688,413
389,105,2504,2,1,25040201,201,7/09/2025,40,23.85202602,507.761873,45.59510038,769.0329901,0.246924053,0.04454639,0.09341687,0.024704546,-0.040133934,0.0019605,0.438487315,0.24621619,0.981591178,299
390,106,2504,2,2,25040202,202,7/09/2025,40,24.1147541,535.1754406,49.4902766,793.7999064,0.230247188,0.043181275,0.074217347,0.023767422,-0.048564643,0.002196813,0.419891837,0.243582682,0.918743051,354
391,107,2504,2,3,25040203,203,7/09/2025,40,25.36679624,538.6315582,46.53678666,905.7831447,0.248521761,0.046808184,0.094050961,0.027644479,-0.045374695,0.002388497,0.429046251,0.244965565,0.991779374,406
392,108,2504,2,4,25040204,204,7/09/2025,40,26.01092742,643.6129146,51.91405075,1124.909208,0.237741147,0.05003638,0.084540748,0.029079047,-0.048858741,0.002570485,0.438505084,0.246218375,0.87133405,375
393,109,2504,3,1,25040301,301,7/09/2025,40,22.08060248,593.0040044,52.47618806,773.0060051,0.189985994,0.043013371,0.032192369,0.021903001,-0.05641345,0.001556663,0.341948198,0.225019628,0.964002552,264
394,110,2504,3,2,25040302,302,7/09/2025,40,24.93213562,722.6275751,49.65576705,921.3059453,0.216500639,0.051177115,0.046069339,0.027042802,-0.054205684,0.002230133,0.41180446,0.242221547,0.909992344,333
395,111,2504,3,3,25040303,303,7/09/2025,40,25.41511081,634.4753978,48.0944834,736.5829614,0.231405544,0.041104024,0.062156648,0.021194892,-0.050786162,0.00187797,0.412182141,0.242288024,0.989465627,585
396,112,2504,3,4,25040304,304,7/09/2025,40,28.3360178,823.1763382,51.59235773,1168.651229,0.230595529,0.054427278,0.064685074,0.030483671,-0.057290224,0.002455987,0.448906034,0.247389407,0.908931826,501
397,113,2504,4,1,25040401,401,7/09/2025,40,25.5155986,552.4676866,43.68151256,660.2774427,0.216730334,0.044884533,0.0636935,0.022282783,-0.050045589,0.001538007,0.40801329,0.241538445,0.986857934,431
398,114,2504,4,2,25040402,402,7/09/2025,40,28.8115481,878.8876581,42.45492527,1115.734522,0.228394714,0.065187762,0.071373427,0.03520287,-0.055486382,0.002360145,0.444216098,0.246888156,0.887999854,212
399,115,2504,4,3,25040403,403,7/09/2025,40,27.6865285,736.1949886,40.51700834,880.8557551,0.238000155,0.054401046,0.086080801,0.029116362,-0.048930723,0.001966978,0.43303672,0.245515919,0.923468086,405
400,116,2504,4,4,25040404,404,7/09/2025,40,25.85611693,768.4730174,45.36835081,1005.829452,0.213062995,0.056367565,0.06761299,0.031204011,-0.055360825,0.002220686,0.419539259,0.243526069,0.875344039,378
401,117,2504,5,1,25040501,501,7/09/2025,40,33.91545567,869.5715387,36.66758476,855.5207949,0.256346315,0.057171382,0.08820252,0.029153199,-0.052795275,0.00155555,0.477329053,0.249486028,0.948469769,228
402,118,2504,5,2,25040502,502,7/09/2025,40,30.23358116,817.723349,40.77552664,993.6003909,0.231122484,0.060787416,0.070272676,0.032427431,-0.053424107,0.002226041,0.479300439,0.249571528,0.928133999,407
403,119,2504,5,3,25040503,503,7/09/2025,40,25.96468203,590.7117589,42.22903171,713.7786288,0.213044689,0.047018026,0.065657898,0.023950651,-0.052755256,0.001663159,0.422491973,0.243992506,0.978692379,762
404,120,2504,5,4,25040504,504,7/09/2025,40,25.31932276,779.2434706,45.74148801,962.0491388,0.186491707,0.055992272,0.045575828,0.029394804,-0.057654379,0.002315126,0.402766431,0.240545633,0.909800062,535
405,121,2504,6,1,25040601,601,7/09/2025,40,29.10642073,705.5376186,40.05995494,732.1996435,0.246727401,0.049423926,0.082415205,0.025683577,-0.044581215,0.001697226,0.460827936,0.248465549,0.974830502,313
406,122,2504,6,2,25040602,602,7/09/2025,40,28.65192297,829.1375,43.31716875,983.2486125,0.215599137,0.059287328,0.063333297,0.031549569,-0.055817155,0.002222689,0.431555831,0.245315396,0.915094512,337
407,123,2504,6,3,25040603,603,7/09/2025,40,26.85464527,654.8933146,41.27389638,792.9554824,0.218166122,0.050331054,0.077679781,0.026521326,-0.051795243,0.001855874,0.408474099,0.241623009,0.98197295,573
408,124,2504,6,4,25040604,604,7/09/2025,40,31.40367722,916.3927661,39.59400834,1173.845591,0.232803969,0.065695832,0.084134465,0.035598428,-0.051846647,0.002455964,0.465818223,0.248831606,0.85313793,414
409,125,2504,7,1,25040701,701,7/09/2025,40,24.96623011,574.9187582,40.9375412,724.5059564,0.226420736,0.050726427,0.073931966,0.027441951,-0.053027543,0.001802074,0.436755387,0.246000119,0.926947963,343
410,126,2504,7,2,25040702,702,7/09/2025,40,22.86222047,636.8063984,46.30994197,914.7167401,0.192274454,0.057495977,0.050699603,0.032646003,-0.061319909,0.002208207,0.393370135,0.238630072,0.912790698,402
411,127,2504,7,3,25040703,703,7/09/2025,40,29.8772251,770.615644,39.65387561,810.8009634,0.230650866,0.051459777,0.078549732,0.026763737,-0.053356961,0.001793447,0.442569851,0.246701778,0.984944041,587
412,128,2504,7,4,25040704,704,7/09/2025,40,23.98180999,811.6272526,47.20983835,968.7684879,0.165910145,0.057330983,0.031123535,0.03020148,-0.065381604,0.002236465,0.349664921,0.227399364,0.866881756,357
413,129,2504,8,1,25040801,801,7/09/2025,40,23.25674686,466.8792611,45.11882923,595.4427448,0.204551785,0.041072773,0.051338304,0.021482155,-0.053259953,0.00159387,0.396163164,0.239217912,0.964983595,419
414,130,2504,8,2,25040802,802,7/09/2025,40,25.40331803,609.0810886,41.93180859,910.932277,0.216762235,0.058957915,0.06535603,0.033121452,-0.053048427,0.00253192,0.446469312,0.247134465,0.92182915,350
415,131,2504,8,3,25040803,803,7/09/2025,40,31.47848615,790.2054957,37.74271796,776.7965734,0.233334984,0.051233092,0.075392611,0.026174794,-0.053402739,0.001886003,0.448974994,0.247396449,0.974210833,596
416,132,2504,8,4,25040804,804,7/09/2025,40,34.12936472,1060.033445,39.73816738,1036.389446,0.216015178,0.060531106,0.057303619,0.030955329,-0.059921902,0.002214936,0.44644064,0.247131395,0.91805191,472
417,133,2504,9,1,25040901,901,7/09/2025,40,27.17874845,632.8642132,43.40134617,751.1427882,0.226849292,0.047034286,0.073274425,0.024332945,-0.056660123,0.001552023,0.437591529,0.246105183,0.987204491,351
418,134,2504,9,2,25040902,902,7/09/2025,40,31.16342336,895.0929808,43.43093302,1123.267858,0.226480266,0.062523704,0.066166257,0.033348687,-0.060531162,0.00239425,0.465825565,0.248832108,0.901175613,323
419,135,2504,9,3,25040903,903,7/09/2025,40,28.91066753,766.0140642,43.00629522,810.4882736,0.210737539,0.049940155,0.061792945,0.025465747,-0.058670228,0.001868645,0.408795293,0.241681701,0.967320381,454
420,136,2504,9,4,25040904,904,7/09/2025,40,34.02874599,1018.397873,41.78052256,1046.356768,0.213631703,0.059627231,0.057317687,0.030032861,-0.065169408,0.002360797,0.45264373,0.247757384,0.884489893,513
421,137,2504,10,1,25041001,1001,7/09/2025,40,26.8756055,628.2751366,46.33216741,797.0725952,0.243329084,0.045576111,0.089332066,0.023337351,-0.038760184,0.001796393,0.44868762,0.24736704,0.977452517,411
422,138,2504,10,2,25041002,1002,7/09/2025,40,30.89892419,871.8750208,39.58170551,1115.906479,0.256451672,0.063452483,0.098610109,0.034992504,-0.045003032,0.002423132,0.49124141,0.249923287,0.911448935,317
423,139,2504,10,3,25041003,1003,7/09/2025,40,30.75694014,851.2174296,40.71946054,921.5907275,0.22563062,0.054186717,0.072720652,0.028172542,-0.060309102,0.001773943,0.433470353,0.245573806,0.951993001,459
424,140,2504,10,4,25041004,1004,7/09/2025,40,30.99549562,1029.222637,43.76202811,1110.265412,0.194333956,0.0617516,0.042773784,0.031632397,-0.071442858,0.002215088,0.414093072,0.24262,0.890278132,419
425,141,2504,11,1,25041101,1101,7/09/2025,40,13.08447611,309.9206649,65.40974288,619.8943613,0.136275236,0.02916154,0.009715988,0.015932305,-0.066058392,0.001341354,0.232562724,0.178477303,0.945448912,340
426,142,2504,11,2,25041102,1102,7/09/2025,40,21.54646348,601.3272474,49.38006253,884.0995938,0.197645073,0.050937347,0.05299345,0.027672983,-0.051866793,0.001954345,0.379087913,0.235380267,0.901977581,442
427,143,2504,11,3,25041103,1103,7/09/2025,40,26.61525677,640.1221211,39.58545874,754.0722196,0.238250094,0.048062887,0.084315831,0.025352711,-0.04377371,0.001760953,0.441223696,0.246545346,0.935825466,500
428,144,2504,11,4,25041104,1104,7/09/2025,40,23.44775825,765.9003067,46.98439224,832.4398202,0.174401328,0.050564582,0.035056433,0.025864765,-0.060120995,0.001696853,0.341782134,0.224967107,0.913036346,306
429,145,2504,12,1,25041201,1201,7/09/2025,40,17.85458027,430.1193729,54.71193152,812.0589647,0.213053491,0.043604881,0.067248877,0.025639179,-0.046092781,0.002299291,0.358762074,0.230051848,0.915539678,239
430,146,2504,12,2,25041202,1202,7/09/2025,40,18.72777449,647.593968,53.43189998,852.1461506,0.168716535,0.0489694,0.028320914,0.026133318,-0.059543975,0.002031018,0.315592352,0.215993819,0.837504329,302
431,147,2504,12,3,25041203,1203,7/09/2025,40,24.39605745,635.0169487,44.27218811,710.5890809,0.203715731,0.046072328,0.053757218,0.023494714,-0.057070661,0.001669969,0.384173472,0.236584215,0.957238161,482
432,148,2504,12,4,25041204,1204,7/09/2025,40,21.88276872,652.2303784,46.89103094,852.2882353,0.177795,0.053912646,0.038270844,0.029516583,-0.064979552,0.001959814,0.351327758,0.227896564,0.884765411,424
433,149,2504,13,1,25041301,1301,7/09/2025,40,19.06782476,447.0260603,52.69070893,660.3641875,0.189730551,0.038759089,0.037985808,0.020342776,-0.064798964,0.001561144,0.351230362,0.227867595,0.953541355,395
434,150,2504,13,2,25041302,1302,7/09/2025,40,17.71200946,527.6299155,52.09675131,754.966888,0.165740803,0.04603044,0.023082807,0.024641807,-0.064994214,0.001867375,0.323461517,0.218834164,0.901906463,350
435,151,2504,13,3,25041303,1303,7/09/2025,40,23.15258104,555.0595994,45.02577374,663.0017814,0.200454049,0.043095057,0.049340172,0.022414852,-0.060654008,0.001420391,0.374665578,0.234291283,0.952740263,543
436,152,2504,13,4,25041304,1304,7/09/2025,40,23.95953139,793.6332436,46.78755244,985.0147508,0.183200028,0.057850395,0.03709416,0.030866963,-0.063553239,0.002003168,0.35982427,0.230350765,0.869796603,252
437,153,2504,14,1,25041401,1401,7/09/2025,40,24.67206284,534.8001967,41.64385821,730.3891195,0.248211864,0.049658464,0.088247254,0.027563737,-0.045070588,0.001931606,0.431797066,0.24534836,0.957676394,210
438,154,2504,14,2,25041402,1402,7/09/2025,40,25.60651537,644.4311874,40.19488118,916.9498067,0.246657063,0.058211763,0.0892853,0.033126923,-0.045146287,0.002531065,0.454612006,0.24793993,0.907631181,382
439,155,2504,14,3,25041403,1403,7/09/2025,40,28.49780368,656.0854404,38.46930788,722.7703736,0.249082616,0.048143412,0.088625529,0.026155898,-0.046413135,0.001956454,0.451258659,0.247624282,0.988116502,491
440,156,2504,14,4,25041404,1404,7/09/2025,40,22.9025771,644.0684415,44.83115618,834.1904381,0.195095779,0.053800654,0.051241853,0.029944469,-0.05470108,0.002284317,0.384734544,0.236713875,0.942256165,418
441,157,2504,15,1,25041501,1501,7/09/2025,40,16.11594774,340.2983593,47.43926117,507.0601205,0.179253545,0.04074879,0.036867497,0.022886211,-0.057563687,0.001686188,0.320813155,0.217892074,0.951809864,306
442,158,2504,15,2,25041502,1502,7/09/2025,40,18.94167019,498.7873313,45.84514856,686.4546908,0.18923772,0.049863922,0.042093178,0.028124345,-0.057292782,0.002094395,0.358456555,0.229965453,0.851244942,415
443,159,2504,15,3,25041503,1503,7/09/2025,40,19.72563106,477.5392416,45.21340994,559.369869,0.186856241,0.041240557,0.038864726,0.022433945,-0.06024141,0.001509253,0.341841334,0.224985836,0.93027834,532
444,160,2504,15,4,25041504,1504,7/09/2025,40,19.71030539,584.5547124,45.84728419,698.0422893,0.181051728,0.048706453,0.036614418,0.026473946,-0.059858764,0.001832101,0.347363083,0.226701972,0.863556001,405
445,161,2504,16,1,25041601,1601,7/09/2025,40,13.76842728,299.6338283,49.49519679,389.5211563,0.157282102,0.030978544,0.011667313,0.015975737,-0.061881201,0.001163103,0.267047694,0.195733223,0.960427983,335
446,162,2504,16,2,25041602,1602,7/09/2025,40,12.74247416,437.558332,53.12083016,552.3684454,0.11200312,0.035277266,-0.02655676,0.018969916,-0.078962684,0.00118998,0.206696517,0.163973067,0.835401972,239
447,163,2504,16,3,25041603,1603,7/09/2025,40,20.33071443,564.1586576,44.40773279,574.0793862,0.184139604,0.040935585,0.027229961,0.022015264,-0.065021496,0.001405698,0.325927177,0.219698652,0.954778266,452
448,164,2504,16,4,25041604,1604,7/09/2025,40,13.82454658,475.7831735,48.68285456,569.2929299,0.141520568,0.038610277,0.003030384,0.020784588,-0.067202707,0.001430291,0.238734933,0.181740565,0.864873239,198
449,165,2504,17,1,25041701,1701,7/09/2025,40,14.8982879,364.2305873,49.555722,409.7736824,0.160415695,0.030909007,0.012889875,0.01579424,-0.070138475,0.000967719,0.26224938,0.193474643,0.926031243,312
450,166,2504,17,2,25041702,1702,7/09/2025,40,13.57079708,435.4645164,51.39494889,443.5187881,0.125500889,0.032482116,-0.019038049,0.016003452,-0.079783763,0.001029748,0.234873441,0.179707908,0.83149856,392
451,167,2504,17,3,25041703,1703,7/09/2025,40,17.65328827,670.0602163,51.94974791,451.0790222,0.127408647,0.030238776,-0.023335694,0.013627234,-0.088959071,0.000893835,0.223461484,0.173526449,0.923483523,358
452,168,2504,17,4,25041704,1704,7/09/2025,40,12.17296536,470.9451886,53.49976908,405.6927034,0.112222187,0.027770692,-0.024248486,0.013089924,-0.083538357,0.000969859,0.196451704,0.157858432,0.835551019,289
453,169,2504,18,1,25041801,1801,7/09/2025,40,12.46356441,350.0301434,47.931416,509.9421411,0.171046663,0.038571762,0.032001145,0.021260455,-0.055309639,0.001429264,0.286104617,0.204248765,0.852052348,232
454,170,2504,18,2,25041802,1802,7/09/2025,40,11.07072869,394.9748375,53.09120397,443.2229987,0.131720541,0.031183166,-0.009664866,0.015504569,-0.06858183,0.001156584,0.22181552,0.172613395,0.869511328,317
